code,name,market,sector,theme
6635,大日光・エンジニアリング,Standard,電気機器,半導体関連
6637,寺崎電気産業,Standard,電気機器,半導体関連
6638,ミマキエンジニアリング,Prime,電気機器,半導体関連
6643,戸上電機製作所,Standard,電気機器,半導体関連
6644,大崎電気工業,Prime,電気機器,半導体関連
6645,オムロン,Prime,電気機器,半導体関連
6647,森尾電機,Standard,電気機器,半導体関連
6648,かわでん,Standard,電気機器,半導体関連
6651,日東工業,Prime,電気機器,半導体関連
6652,ＩＤＥＣ,Prime,電気機器,半導体関連
6653,正興電機製作所,Prime,電気機器,半導体関連
6654,不二電機工業,Standard,電気機器,半導体関連
6656,インスペック,Standard,電気機器,半導体関連
6658,シライ電子工業,Standard,電気機器,半導体関連
6659,メディアリンクス,Standard,電気機器,半導体関連
6662,ユビテック,Standard,電気機器,半導体関連
6663,太洋テクノレックス,Standard,電気機器,半導体関連
6664,オプトエレクトロニクス,Standard,電気機器,半導体関連
6666,リバーエレテック,Standard,電気機器,半導体関連
6668,アドテック　プラズマ　テクノロジー,Standard,電気機器,半導体関連
6670,ＭＣＪ,Standard,電気機器,半導体関連
6674,ジーエス・ユアサ　コーポレーション,Prime,電気機器,半導体関連
6675,サクサ,Standard,電気機器,半導体関連
6676,ＢＵＦＦＡＬＯ,Standard,電気機器,半導体関連
6677,エスケーエレクトロニクス,Standard,電気機器,半導体関連
6678,テクノメディカ,Standard,電気機器,半導体関連
6694,ズーム,Standard,電気機器,半導体関連
6695,キャストリコ,PRO,電気機器,半導体関連
6696,トラース・オン・プロダクト,Growth,電気機器,半導体関連
6699,ダイヤモンドエレクトリックホールディングス,Prime,電気機器,半導体関連
6701,日本電気,Prime,電気機器,半導体関連
6702,富士通,Prime,電気機器,半導体関連
6703,沖電気工業,Prime,電気機器,半導体関連
6706,電気興業,Prime,電気機器,半導体関連
6707,サンケン電気,Prime,電気機器,半導体関連
6718,アイホン,Prime,電気機器,半導体関連
6721,ウインテスト,Standard,電気機器,半導体関連
6723,ルネサスエレクトロニクス,Prime,電気機器,半導体関連
6724,セイコーエプソン,Prime,電気機器,半導体関連
6727,ワコム,Prime,電気機器,半導体関連
